mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
3.84361,7.21856,16.3785,0.723967,2.51102,0.00483025,0.0,0.0,0.0,0.604598,0.375646,0.0198472,5.36053,6.47845,30.1145337574
3.81211,5.74676,9.12642,0.492409,0.706582,1.78393,0.0,0.0,0.0,0.53575,0.306161,0.15817,5.2453,4.32227,10.1849133709
4.13416,8.38697,14.1994,1.0282,1.44315,4.45808,0.0,0.0,0.0,0.699611,0.258783,0.0416661,5.65435,7.8701,33.3629103418
4.09492,8.52554,12.2874,1.18729,1.3812,6.81393,0.0,0.0,0.0,0.727557,0.214724,0.0577471,5.51949,7.61577,28.6026949681
3.9403,5.78591,9.58783,0.993995,3.24375,3.63859,0.0,0.0,0.0,0.535438,0.266395,0.198329,5.55267,6.75378,17.555761319
4.0926,7.95628,11.7148,1.09463,1.37386,1.83718,0.0,0.0,0.0,0.661496,0.255114,0.0832883,5.71271,7.2485,19.6725542249
4.33754,7.89223,11.739,0.982007,0.307663,3.05377,0.0,0.0,0.0,0.737373,0.147491,0.115144,5.7141,7.39781,28.4448377817
4.07643,7.13291,10.2595,1.10793,2.25313,2.92601,0.0,0.0,0.0,0.59658,0.254607,0.148899,5.77563,6.85543,15.9595858377
3.89515,6.11679,9.6996,0.708345,2.36101,4.18219,0.0,0.0,0.0,0.562176,0.275952,0.161944,5.4485,6.13336,18.5048293084
4.10657,7.31367,12.9112,0.815112,1.97557,1.63421,0.0,0.0,0.0,0.629181,0.298081,0.0727995,5.70377,7.38006,28.8958008558
4.30874,8.29401,11.7001,1.46786,1.51261,2.91462,0.0,0.0,0.0,0.743408,0.171754,0.0849106,5.62114,7.24377,22.9740048664
3.67798,7.06416,11.289,0.932386,2.8816,4.72649,0.0,0.0,0.0,0.642127,0.270454,0.0875303,5.26039,7.46081,27.0784597303
3.46453,5.40652,9.78439,0.841559,0.988124,4.13771,0.0,0.0,0.0,0.394315,0.429639,0.176115,5.41215,6.34753,19.4191993987
4.00793,8.06665,14.9586,1.06059,2.49949,1.78932,0.0,0.0,0.0,0.651312,0.300401,0.0483073,5.75625,9.2132,41.8364925071
3.83821,7.48727,10.6751,0.656571,1.60852,2.25936,0.0,0.0,0.0,0.65711,0.211121,0.131837,5.51021,7.24795,21.1893451226
