mu1,mu2,sigma1,sigma2,w1,w2
4.15555,2.11435,1.06986,0.252517,0.714462,0.285521
4.11662,2.08037,1.06212,0.256727,0.714723,0.285287
4.02926,2.09233,1.02669,0.253325,0.692734,0.307317
1.46005,8.8187,0.34831,3.15043,0.758262,0.241789
4.15678,2.14341,1.1219,0.244453,0.742213,0.257798
1.43785,8.77033,0.344932,3.01722,0.750872,0.249237
4.15863,2.15332,1.15602,0.264353,0.738419,0.261477
4.15798,2.11634,1.14079,0.265339,0.714963,0.284913
1.45906,8.90453,0.323762,2.96908,0.745542,0.254545
1.44253,8.57319,0.313213,2.687,0.736014,0.264014
4.11227,2.13028,1.04714,0.25136,0.716615,0.283428
1.45229,8.8538,0.329873,3.05529,0.769308,0.230786
4.21394,2.15628,1.19708,0.24311,0.739479,0.260576
4.09917,2.09999,1.02577,0.254861,0.719045,0.280915
4.09176,2.10507,1.04355,0.257783,0.704696,0.295361
4.05026,2.10808,1.0977,0.244392,0.723,0.277051
4.08898,2.11635,1.12279,0.251675,0.725253,0.274738
4.23582,2.13418,1.12037,0.242651,0.732854,0.267204
4.11871,2.13783,1.10237,0.25757,0.723551,0.276538
1.44745,9.1931,0.338461,2.98217,0.77553,0.224516
4.06705,2.08833,1.02679,0.253517,0.698118,0.301934
4.12578,2.12177,1.10704,0.246116,0.730782,0.269214
4.09757,2.13134,1.15549,0.270239,0.718748,0.281309
4.18848,2.14351,1.13871,0.257672,0.733634,0.266419
4.03696,2.12295,1.02471,0.240859,0.705281,0.2948
4.33555,2.17483,1.19119,0.25438,0.773092,0.226994
1.44014,8.77614,0.345339,2.819,0.764911,0.235182
4.18635,2.12332,1.06829,0.248582,0.721588,0.278438
1.43596,8.77478,0.328603,2.93891,0.748225,0.251856
1.47856,8.98232,0.341608,3.28997,0.760516,0.239537
4.14328,2.14698,1.12632,0.237516,0.736136,0.263881
1.439,8.60355,0.35422,2.94691,0.75462,0.245445
4.19349,2.13733,1.05762,0.250203,0.746021,0.253962
4.15905,2.15114,1.13361,0.238592,0.726836,0.273103
1.46095,8.25932,0.332994,2.92149,0.731492,0.268532
4.13322,2.1432,1.11116,0.235538,0.729905,0.270138
4.11227,2.13345,1.06156,0.266805,0.733606,0.266338
4.11469,2.14,1.09368,0.246203,0.712181,0.287816
4.18657,2.12053,1.13429,0.246906,0.731729,0.268359
4.24367,2.16403,1.14265,0.259757,0.75489,0.245193
4.14438,2.12879,1.13776,0.253216,0.745946,0.254114
4.15501,2.13943,1.10997,0.259568,0.723924,0.276097
1.43605,8.7853,0.302146,2.78064,0.749869,0.250224
4.13784,2.13853,1.06546,0.23851,0.724577,0.275516
4.19025,2.14257,1.09587,0.259737,0.718272,0.281738
4.23893,2.15765,1.10783,0.25015,0.734484,0.265525
1.4475,8.60102,0.318782,3.06046,0.760408,0.239654
4.10561,2.13016,1.09268,0.263854,0.731493,0.268559
4.21351,2.13819,1.1215,0.259295,0.731255,0.268838
1.48694,8.77313,0.331763,3.09812,0.764578,0.235505
4.12086,2.149,1.15792,0.238615,0.716765,0.283235
4.14057,2.15327,1.11128,0.245539,0.729404,0.270573
4.12746,2.12849,1.02974,0.237183,0.71815,0.281921
4.16471,2.12955,1.09174,0.238934,0.733355,0.266656
4.11749,2.12879,1.04467,0.245038,0.725748,0.274233
4.08117,2.11126,1.01809,0.254637,0.706127,0.293888
4.18091,2.13465,1.11486,0.249313,0.726707,0.273332
4.10562,2.13078,1.08746,0.251492,0.720325,0.279793
1.4607,8.51082,0.32126,3.04825,0.752786,0.247269
4.01439,2.0916,1.01665,0.269487,0.705265,0.294803
4.08016,2.0971,1.1174,0.24994,0.719272,0.280817
4.15708,2.13918,1.10371,0.254901,0.731221,0.268873
1.45711,8.5854,0.326587,2.80597,0.739805,0.260255
1.45326,8.62767,0.337012,2.84328,0.731402,0.268663
1.45167,8.56321,0.317368,2.95733,0.758306,0.241708
1.44492,8.56581,0.33007,2.75528,0.750211,0.249885
4.09361,2.11073,1.03831,0.237694,0.691779,0.308244
4.16814,2.11237,1.03539,0.249759,0.718599,0.281482
4.1268,2.13471,1.06038,0.24302,0.704244,0.295865
4.13574,2.12948,1.16258,0.255613,0.723915,0.276111
1.45969,8.63437,0.354823,3.14638,0.756081,0.24395
4.13345,2.13195,1.089,0.256147,0.72557,0.274465
4.15126,2.13697,1.09655,0.238008,0.723334,0.276673
4.07748,2.13548,1.08761,0.258591,0.711677,0.28836
4.25145,2.1791,1.19341,0.268591,0.758205,0.241731
4.20731,2.1079,1.1569,0.257057,0.705174,0.294873
4.20068,2.16499,1.12167,0.254993,0.75626,0.243768
4.22627,2.15088,1.21704,0.2658,0.750302,0.249796
1.44641,8.60582,0.339195,2.83729,0.737387,0.262675
4.05495,2.11678,1.05522,0.256176,0.709931,0.290155
4.12503,2.1358,1.03461,0.250743,0.74467,0.255307
4.18127,2.16645,1.1861,0.244989,0.745898,0.254071
4.16881,2.13588,1.07491,0.226276,0.719223,0.280906
1.47469,8.63382,0.290684,3.05722,0.74648,0.253581
4.11236,2.14365,1.06717,0.239812,0.711036,0.288971
4.16534,2.10842,1.09908,0.242741,0.715598,0.284422
1.47487,8.77297,0.346752,2.98714,0.767329,0.232691
4.11276,2.13568,1.09078,0.244483,0.733166,0.266889
1.45457,8.64831,0.335411,2.74873,0.746603,0.253413
4.10149,2.11192,1.08965,0.24163,0.736454,0.263686
4.07386,2.11851,1.08018,0.238246,0.707499,0.292404
4.21063,2.14155,1.10901,0.249762,0.741785,0.258308
4.09594,2.13125,1.065,0.245057,0.716156,0.283948
4.08904,2.12443,1.11938,0.261977,0.710316,0.289723
4.12988,2.10166,1.06717,0.233185,0.732436,0.267618
4.26771,2.14808,1.13744,0.253571,0.74822,0.251743
4.14065,2.1507,1.1013,0.250526,0.734356,0.265686
4.19066,2.17263,1.13909,0.237707,0.735685,0.26436
1.46583,8.5025,0.311813,3.00157,0.746816,0.25325
4.17876,2.12878,1.09854,0.248705,0.728133,0.271947
1.46605,8.5149,0.343921,2.9873,0.736075,0.263927
4.13771,2.12885,1.0924,0.24653,0.735943,0.264071
4.18033,2.17038,1.06498,0.251579,0.722679,0.277399
4.09894,2.12081,1.11201,0.241881,0.716168,0.28391
4.22967,2.16024,1.10407,0.248392,0.734676,0.265336
4.11701,2.13642,1.11581,0.25228,0.720978,0.279057
4.08577,2.12301,1.09169,0.249848,0.724268,0.275802
